id;pays;iso_alpha_2;iso_alpha_3;iso_numerique
1;Outdoors Multi-channelled;Cambridgeshire;applications navigate;Metal Neck monitoring
2;Concrete;copying context-sensitive connecting;Ranch Dynamic;synthesizing Small Rubber Sausages transition
3;RSS back up;Practical Personal Loan Account;Engineer Lights Pennsylvania;bypassing Licensed Frozen Shirt
4;Gourde US Dollar Re-contextualized Re-contextualized;Nebraska AGP;Bolivar Fuerte;Credit Card Account
5;circuit;Barbados Dollar;Chips;superstructure
6;Fully-configurable fault-tolerant;alarm bypass;input embrace;Bacon
7;Indiana;CSS California;Sudan stable Sleek Rubber Chips;wireless virtual calculating
8;Officer Director Developer;multi-byte e-services;Generic Fully-configurable neural;Corners maroon Tasty
9;system;Ergonomic;Home Executive;Direct Brazil
10;Investor Marketing;CSS;Spring;Home GB Riel
